time_s,T_hot_C
0.1,1000.0
0.2,1106.5
0.3,1220.1
0.4,1319.3
0.5,1403.8
0.6,1474.0
0.7,1529.9
0.8,1574.0
0.9,1608.1
1.0,1633.9
1.1,1653.5
1.2,1667.9
1.3,1678.7
1.4,1686.5
1.5,1692.2
1.6,1696.3
1.7,1699.3
1.8,1701.5
1.9,1703.1
2.0,1704.2
2.1,1705.0
2.2,1705.6
2.3,1706.0
2.4,1706.3
2.5,1706.5
2.6,1706.7
2.7,1706.8
2.8,1706.9
2.9,1707.0
3.0,1707.0
3.1,1707.1
3.2,1707.1
3.3,1707.2
3.4,1707.2
3.5,1707.2
3.6,1707.2
3.7,1707.2
3.8,1707.3
3.9,1707.3
4.0,1707.3
4.1,1707.3
4.2,1707.3
4.3,1707.3
4.4,1707.3
4.5,1707.3
4.6,1707.2
4.7,1707.2
4.8,1707.2
4.9,1707.3
5.0,1707.3
5.1,1707.3
5.2,1707.3
5.3,1707.2
5.4,1707.2
5.5,1707.1
5.6,1707.0
5.7,1707.0
5.8,1707.0
5.9,1707.1
6.0,1707.0
6.1,1707.0
6.2,1706.9
6.3,1706.8
6.4,1706.7
6.5,1706.7
6.6,1706.6
6.7,1706.5
6.8,1706.6
6.9,1706.6
7.0,1706.7
7.1,1706.7
7.2,1706.6
7.3,1706.6
7.4,1706.5
7.5,1706.4
7.6,1706.4
7.7,1706.4
7.8,1706.5
7.9,1706.6
8.0,1706.6
8.1,1706.5
8.2,1706.4
8.3,1706.3
8.4,1706.2
8.5,1706.0
8.6,1705.9
8.7,1705.8
8.8,1706.0
8.9,1706.1
9.0,1706.1
9.1,1706.1
9.2,1706.0
9.3,1705.8
9.4,1705.7
9.5,1705.5
9.6,1705.4
9.7,1705.2
9.8,1705.0
9.9,1705.2
10.0,1705.4
10.1,1705.5
10.2,1705.6
10.3,1705.6
10.4,1705.5
10.5,1705.4
10.6,1705.3
10.7,1705.1
10.8,1705.1
10.9,1705.3
11.0,1705.4
11.1,1705.5
11.2,1705.5
11.3,1705.4
11.4,1705.3
11.5,1705.1
11.6,1705.0
11.7,1705.1
11.8,1705.3
11.9,1705.5
12.0,1705.5
12.1,1705.5
12.2,1705.4
12.3,1705.2
12.4,1705.0
12.5,1704.8
12.6,1704.6
12.7,1704.7
12.8,1704.9
12.9,1705.1
13.0,1705.3
13.1,1705.3
13.2,1705.3
13.3,1705.2
13.4,1705.1
13.5,1704.9
13.6,1704.7
13.7,1704.5
13.8,1704.4
13.9,1704.7
14.0,1705.0
14.1,1705.2
14.2,1705.3
14.3,1705.3
14.4,1705.3
14.5,1705.2
14.6,1705.0
14.7,1704.8
14.8,1704.6
14.9,1704.5
15.0,1704.5
15.1,1704.7
15.2,1705.0
15.3,1705.3
15.4,1705.4
15.5,1705.4
15.6,1705.4
15.7,1705.3
15.8,1705.2
15.9,1705.0
16.0,1704.8
16.1,1704.7
16.2,1704.6
16.3,1704.9
16.4,1705.2
16.5,1705.4
16.6,1705.5
16.7,1705.5
16.8,1705.5
16.9,1705.5
17.0,1705.4
17.1,1705.3
17.2,1705.1
17.3,1704.9
17.4,1704.7
17.5,1704.5
17.6,1704.4
17.7,1704.2
17.8,1704.4
17.9,1704.8
18.0,1705.1
18.1,1705.3
18.2,1705.4
18.3,1705.4
18.4,1705.4
18.5,1705.3
18.6,1705.2
18.7,1705.1
18.8,1704.9
18.9,1704.8
19.0,1704.6
19.1,1704.4
19.2,1704.3
19.3,1704.2
19.4,1704.0
19.5,1703.8
19.6,1703.7
19.7,1703.7
19.8,1704.1
19.9,1704.4
20.0,1704.7
20.1,1704.9
20.2,1705.0
20.3,1705.0
20.4,1705.1
20.5,1705.1
20.6,1705.0
20.7,1704.9
20.8,1704.7
20.9,1704.6
21.0,1704.4
21.1,1704.3
21.2,1704.4
21.3,1704.7
21.4,1705.0
21.5,1705.2
21.6,1705.3
21.7,1705.4
21.8,1705.4
21.9,1705.4
22.0,1705.3
22.1,1705.3
22.2,1705.2
22.3,1705.1
22.4,1705.0
22.5,1704.9
22.6,1704.7
22.7,1704.6
22.8,1704.5
22.9,1704.4
23.0,1704.3
23.1,1704.2
23.2,1704.1
23.3,1704.0
23.4,1704.0
23.5,1704.3
23.6,1704.6
23.7,1704.9
23.8,1705.1
23.9,1705.2
24.0,1705.3
24.1,1705.4
24.2,1705.4
24.3,1705.4
24.4,1705.4
24.5,1705.3
24.6,1705.2
24.7,1705.1
24.8,1705.1
24.9,1704.9
25.0,1704.8
25.1,1704.7
25.2,1704.6
25.3,1704.5
25.4,1704.5
25.5,1704.4
25.6,1704.3
25.7,1704.2
25.8,1704.1
25.9,1704.3
26.0,1704.6
26.1,1704.9
26.2,1705.1
26.3,1705.2
26.4,1705.4
26.5,1705.4
26.6,1705.5
26.7,1705.5
26.8,1705.5
26.9,1705.5
27.0,1705.5
27.1,1705.4
27.2,1705.3
27.3,1705.3
27.4,1705.2
27.5,1705.1
27.6,1705.0
27.7,1705.0
27.8,1704.9
27.9,1704.8
28.0,1704.7
28.1,1704.6
28.2,1704.5
28.3,1704.5
28.4,1704.5
28.5,1704.7
28.6,1705.0
28.7,1705.3
28.8,1705.5
28.9,1705.6
29.0,1705.7
29.1,1705.8
29.2,1705.9
29.3,1705.9
29.4,1705.9
29.5,1705.9
29.6,1705.9
29.7,1705.9
29.8,1705.9
29.9,1705.9
30.0,1705.9
30.1,1705.8
30.2,1705.8
30.3,1705.8
30.4,1705.8
30.5,1705.7
30.6,1705.7
30.7,1705.6
30.8,1705.5
30.9,1705.5
31.0,1705.5
31.1,1705.5
31.2,1705.5
31.3,1705.5
31.4,1705.8
31.5,1706.1
31.6,1706.4
31.7,1706.6
31.8,1706.7
31.9,1706.8
32.0,1706.9
32.1,1706.9
32.2,1707.0
32.3,1707.1
32.4,1707.1
32.5,1707.1
32.6,1707.0
32.7,1707.0
32.8,1707.0
32.9,1707.0
33.0,1707.0
33.1,1707.0
33.2,1707.0
33.3,1706.9
33.4,1706.8
33.5,1706.7
33.6,1706.6
33.7,1706.6
33.8,1706.6
33.9,1706.6
34.0,1706.6
34.1,1706.7
34.2,1706.7
34.3,1706.7
34.4,1706.7
34.5,1706.6
34.6,1706.6
34.7,1706.8
34.8,1707.1
34.9,1707.4
35.0,1707.6
35.1,1707.8
35.2,1707.9
35.3,1707.9
35.4,1708.0
35.5,1708.0
35.6,1708.0
35.7,1708.0
35.8,1708.0
35.9,1708.0
36.0,1708.0
36.1,1708.0
36.2,1708.0
36.3,1708.0
36.4,1708.0
36.5,1708.0
36.6,1708.0
36.7,1707.9
36.8,1707.8
36.9,1707.7
37.0,1707.6
37.1,1707.5
37.2,1707.5
37.3,1707.4
37.4,1707.4
37.5,1707.4
37.6,1707.5
37.7,1707.6
37.8,1707.6
37.9,1707.7
38.0,1707.7
38.1,1707.7
38.2,1707.7
38.3,1707.6
38.4,1707.6
38.5,1707.6
38.6,1707.6
38.7,1707.6
38.8,1707.5
38.9,1707.5
39.0,1707.6
39.1,1707.9
39.2,1708.3
39.3,1708.6
39.4,1708.8
39.5,1708.9
39.6,1709.1
39.7,1709.2
39.8,1709.2
39.9,1709.2
40.0,1709.2
40.1,1709.2
40.2,1709.2
40.3,1709.2
40.4,1709.1
40.5,1709.1
40.6,1709.1
40.7,1709.1
40.8,1709.2
40.9,1709.2
41.0,1709.2
41.1,1709.2
41.2,1709.2
41.3,1709.2
41.4,1709.2
41.5,1709.2
41.6,1709.2
41.7,1709.2
41.8,1709.2
41.9,1709.2
42.0,1709.2
42.1,1709.2
42.2,1709.1
42.3,1709.2
42.4,1709.1
42.5,1709.1
